state,v_mites,other_pest_para,diseases,pesticides,other,unknown
Alabama,34.83,24.67,1.77,1.8,7.27,8.9
Arizona,36.23,6.43,3.2,16.97,8.53,1.23
Arkansas,40.13,20.3,3.83,37.87,6.7,25.0
California,44.33,11.93,6.77,13.2,9.27,4.6
Colorado,52.9,4.77,4.8,12.75,4.83,0.8
Connecticut,18.87,6.43,2.4,,3.07,1.27
Florida,45.1,23.7,6.53,17.6,8.97,7.03
Georgia,52.13,18.2,4.87,14.83,10.1,4.63
Hawaii,51.1,55.23,0.2,0.85,1.43,0.2
Idaho,34.9,9.23,11.7,9.87,12.33,0.63
Illinois,32.7,16.77,1.63,2.2,9.97,10.17
Indiana,30.67,13.0,2.73,11.77,9.3,1.23
Iowa,45.07,8.87,4.0,17.27,18.4,3.77
Kansas,73.4,18.87,12.07,26.5,7.73,6.3
Kentucky,27.93,16.87,0.23,5.27,10.2,7.7
Louisiana,52.63,28.87,1.33,19.33,3.2,1.43
Maine,10.97,0.4,0.1,2.5,0.63,0.37
Maryland,17.3,4.1,1.0,0.15,5.17,2.93
Massachusetts,10.3,1.55,0.5,2.15,2.7,6.3
Michigan,32.63,10.63,6.47,5.27,5.13,2.0
Minnesota,31.17,5.4,2.37,9.75,3.47,2.3
Mississippi,38.23,51.53,23.77,29.23,5.47,5.27
Missouri,14.33,5.1,0.83,0.47,3.0,1.4
Montana,19.6,3.93,5.3,2.57,2.57,0.8
Nebraska,22.43,1.67,16.9,2.37,4.07,2.8
New Jersey,14.63,2.53,0.3,0.2,1.77,0.4
New Mexico,16.07,10.17,0.63,,1.6,0.3
New York,24.87,12.93,1.97,6.2,4.47,5.6
North Carolina,29.27,11.43,8.13,2.37,9.2,6.93
North Dakota,32.77,8.65,8.25,6.4,8.7,4.1
Ohio,41.03,12.83,5.23,1.17,5.3,4.87
Oklahoma,12.57,0.7,0.1,0.25,1.5,1.5
Oregon,29.73,5.0,8.23,5.7,11.97,5.63
Other States,10.6,2.87,1.6,4.0,11.97,0.87
Pennsylvania,23.97,6.0,2.17,4.07,3.77,6.0
South Carolina,40.03,14.83,0.77,7.13,15.03,3.67
South Dakota,7.8,3.2,1.75,7.37,5.33,1.73
Tennessee,60.27,33.47,2.65,14.53,8.93,5.9
Texas,23.7,12.93,4.77,8.23,6.63,2.17
United States,45.13,14.4,7.0,12.7,9.83,5.0
Utah,24.8,3.45,2.53,5.25,0.37,4.57
Vermont,16.47,1.9,1.23,0.8,0.43,0.73
Virginia,30.73,16.57,0.7,0.8,3.97,6.13
Washington,36.63,1.33,1.23,8.17,4.37,1.23
West Virginia,36.6,8.2,0.97,1.1,6.0,1.27
Wisconsin,34.1,15.27,9.8,11.1,14.1,5.4
Wyoming,24.67,6.35,2.2,2.2,3.7,6.0
